Model,Dataset,ModelType,Version,test_loss,test_mae,Budget
RegressionConv,W2_16,conv_500K,version_1,0.06819825619459152,0.18955637514591217,128
RegressionConv,W2_16,conv_500K,version_2,0.06179235503077507,0.1702793687582016,128
RegressionConv,W2_16,conv_500K,version_3,0.018889322876930237,0.09908771514892578,128
RegressionConv,W2_16,conv_500K,version_4,0.057576775550842285,0.17448939383029938,128
RegressionConv,W2_16,conv_500K,version_0,0.012411680072546005,0.08316992223262787,256
RegressionConv,W2_16,conv_500K,version_1,0.019799187779426575,0.10583552718162537,256
RegressionConv,W2_16,conv_500K,version_2,0.016530102118849754,0.09690479934215546,256
RegressionConv,W2_16,conv_500K,version_3,0.013176911510527134,0.07428248226642609,256
RegressionConv,W2_16,conv_500K,version_4,0.021209314465522766,0.11618587374687195,256
RegressionConv,W2_16,conv_500K,version_0,0.07820628583431244,0.22534851729869843,32
RegressionConv,W2_16,conv_500K,version_1,0.24143460392951965,0.3634285628795624,32
RegressionConv,W2_16,conv_500K,version_2,0.16697192192077637,0.35575273633003235,32
RegressionConv,W2_16,conv_500K,version_3,0.2335059940814972,0.40154996514320374,32
RegressionConv,W2_16,conv_500K,version_4,0.1276683211326599,0.31499961018562317,32
RegressionConv,W2_16,conv_500K,version_0,0.015561910346150398,0.09460429847240448,512
RegressionConv,W2_16,conv_500K,version_1,0.02567591331899166,0.11910757422447205,512
RegressionConv,W2_16,conv_500K,version_2,0.04221209138631821,0.1673445850610733,512
RegressionConv,W2_16,conv_500K,version_3,0.008923862129449844,0.07955390214920044,512
RegressionConv,W2_16,conv_500K,version_4,0.009584760293364525,0.07049165666103363,512
RegressionConv,W2_16,conv_500K,version_0,0.12054960429668427,0.31578806042671204,64
RegressionConv,W2_16,conv_500K,version_1,0.14482857286930084,0.31606027483940125,64
RegressionConv,W2_16,conv_500K,version_2,0.19926686584949493,0.41160455346107483,64
RegressionConv,W2_16,conv_500K,version_3,0.13985371589660645,0.3287067115306854,64
RegressionConv,W2_16,conv_500K,version_4,0.07669872045516968,0.24269019067287445,64
RegressionMLP,W1_10,mlp_15M,version_0,0.17288069427013397,0.34139585494995117,128
RegressionMLP,W1_10,mlp_15M,version_1,0.21685904264450073,0.38675355911254883,128
RegressionMLP,W1_10,mlp_15M,version_2,0.2206726372241974,0.39215075969696045,128
RegressionMLP,W1_10,mlp_15M,version_3,0.1875348687171936,0.35434144735336304,128
RegressionMLP,W1_10,mlp_15M,version_4,0.18840324878692627,0.36187779903411865,128
RegressionMLP,W1_10,mlp_15M,version_0,0.07977170497179031,0.2290160059928894,256
RegressionMLP,W1_10,mlp_15M,version_1,0.06988710910081863,0.21375462412834167,256
RegressionMLP,W1_10,mlp_15M,version_2,0.07318548858165741,0.21861475706100464,256
RegressionMLP,W1_10,mlp_15M,version_3,0.06707365065813065,0.20945149660110474,256
RegressionMLP,W1_10,mlp_15M,version_4,0.07764565944671631,0.22540268301963806,256
RegressionMLP,W1_10,mlp_15M,version_0,12.556340217590332,3.0169315338134766,32
RegressionMLP,W1_10,mlp_15M,version_1,13.026708602905273,3.0869154930114746,32
RegressionMLP,W1_10,mlp_15M,version_2,13.063572883605957,3.0425453186035156,32
RegressionMLP,W1_10,mlp_15M,version_3,11.153840065002441,2.848104238510132,32
RegressionMLP,W1_10,mlp_15M,version_4,12.217905044555664,2.974708318710327,32
RegressionMLP,W1_10,mlp_15M,version_0,0.056416429579257965,0.19088581204414368,512
RegressionMLP,W1_10,mlp_15M,version_1,0.06173092871904373,0.1997452974319458,512
RegressionMLP,W1_10,mlp_15M,version_2,0.06417024880647659,0.20613572001457214,512
RegressionMLP,W1_10,mlp_15M,version_3,0.06308368593454361,0.20155543088912964,512
RegressionMLP,W1_10,mlp_15M,version_4,0.05992794409394264,0.19697514176368713,512
RegressionMLP,W1_10,mlp_15M,version_0,1.3653737306594849,0.9647205471992493,64
RegressionMLP,W1_10,mlp_15M,version_1,3.40083646774292,1.5647333860397339,64
RegressionMLP,W1_10,mlp_15M,version_2,3.3939437866210938,1.5594885349273682,64
RegressionMLP,W1_10,mlp_15M,version_3,3.3744306564331055,1.5472415685653687,64
RegressionMLP,W1_10,mlp_15M,version_4,3.7985339164733887,1.6549670696258545,64
RegressionMLP,W1_10,mlp_30M,version_0,2.765702724456787,1.3843786716461182,128
RegressionMLP,W1_10,mlp_30M,version_1,0.5998318195343018,0.6369206309318542,128
RegressionMLP,W1_10,mlp_30M,version_2,2.7917771339416504,1.4046595096588135,128
RegressionMLP,W1_10,mlp_30M,version_3,0.6845375299453735,0.6888908743858337,128
RegressionMLP,W1_10,mlp_30M,version_4,0.7199956178665161,0.7195603251457214,128
