,Model,Budget,Dataset,Version,test_mse,test_mae
327,mlp_30M,128,W1_16,2,0.3556,0.5213
328,mlp_30M,128,W1_16,3,0.2688,0.4402
329,mlp_30M,128,W1_16,4,0.2929,0.4544
330,mlp_30M,256,W1_16,0,0.0605,0.2012
331,mlp_30M,256,W1_16,1,0.0698,0.2194
332,mlp_30M,256,W1_16,2,0.0866,0.2494
333,mlp_30M,256,W1_16,3,0.086,0.2457
334,mlp_30M,256,W1_16,4,0.0662,0.2162
335,mlp_30M,32,W1_16,0,3.4244,1.5441
336,mlp_30M,32,W1_16,1,3.9834,1.6735
337,mlp_30M,32,W1_16,2,3.2724,1.5524
338,mlp_30M,32,W1_16,3,1.6742,1.0752
339,mlp_30M,32,W1_16,4,3.5088,1.5622
340,mlp_30M,512,W1_16,0,0.0239,0.1249
341,mlp_30M,512,W1_16,1,0.0269,0.1339
342,mlp_30M,512,W1_16,2,0.028,0.1335
343,mlp_30M,512,W1_16,3,0.0254,0.129
344,mlp_30M,512,W1_16,4,0.0231,0.122
345,mlp_30M,64,W1_16,0,4.4264,1.745
346,mlp_30M,64,W1_16,1,4.9439,1.8942
347,mlp_30M,64,W1_16,2,8.9984,2.5808
348,mlp_30M,64,W1_16,3,3.3091,1.529
349,mlp_30M,64,W1_16,4,7.278,2.3317
350,vit_15M,128,W1_16,0,0.0836,0.2226
351,vit_15M,128,W1_16,1,0.1079,0.2688
352,vit_15M,128,W1_16,2,0.0728,0.214
353,vit_15M,128,W1_16,3,0.0876,0.2361
354,vit_15M,128,W1_16,4,0.1801,0.3297
355,vit_15M,256,W1_16,0,0.05,0.1831
356,vit_15M,256,W1_16,1,0.0646,0.2083
357,vit_15M,256,W1_16,2,0.0504,0.1789
358,vit_15M,256,W1_16,3,0.0529,0.1829
359,vit_15M,256,W1_16,4,0.0415,0.1635
360,vit_15M,32,W1_16,0,0.4732,0.5275
361,vit_15M,32,W1_16,1,0.4542,0.5407
362,vit_15M,32,W1_16,2,0.5395,0.6099
